ami_,failure_scenarios,description,relevant_vulnerabilities,impacts,potential_mitigations,nist_csf_subcategory,domain,source_file,scenario_raw,scenario_id,csf_subcategory,nist_function,der_,dgm_
,,,V12D) Users lack visibility of threat activity in the AMI system,,M12D) Enforce least privilege to limit database access to authorized applications and/or locally authenticated users,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",AMI,ami.csv,,100,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",PR,,
,,,,,M12E) Protect credentials for access to the customer information database,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",AMI,ami.csv,,101,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",PR,,
,,,,,M12F) Create audit logs of firewall rule changes and customer database accesses,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",AMI,ami.csv,,102,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",PR,,
,,,,,M12G) Detect unusual patterns of database access,"DE.AE-5: Incident alert thresholds are established
DE-CM-1: The network is monitored to detect potential cybersecurity events",AMI,ami.csv,,103,"DE.AE-5: Incident alert thresholds are established
DE-CM-1: The network is monitored to detect potential cybersecurity events",DE,,
,,,,,M12H) Detect unauthorized configuration changes to the firewall,"DE-CM-1: The network is monitored to detect potential cybersecurity events
PR.IP-3: Configuration change control processes are in place",AMI,ami.csv,,104,"DE-CM-1: The network is monitored to detect potential cybersecurity events
PR.IP-3: Configuration change control processes are in place",DE,,
,,,,,M12I) Require strong passwords for access to the customer information database,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",AMI,ami.csv,,105,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",PR,,
,,,,,"M12J) Require multi-factor authentication for access to the customer information
database","PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",AMI,ami.csv,,106,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",PR,,
13.0,Authorized User uses Unattended Console to Disconnect Customer,An authorized user gains physical access to the operations room and subsequently an unattended console. The authorized user then disconnects service to a customer’s house,V13A) System permits bypass of access control mechanisms* when the user has physical access to the console,I13A) Unexpected power outage for a single customer,M13A) Restrict physical access to operations room with sensitive consoles,PR.AC-2: Physical access to assets is managed and protected,AMI,ami.csv,,107,PR.AC-2: Physical access to assets is managed and protected,PR,,
,,,V13B) Physical access may be obtained by unauthorized individuals at an unattended user console,,M13B) Train personnel regarding need to lock unattended consoles,PR.AT-1: All users are informed and trained ,AMI,ami.csv,,108,PR.AT-1: All users are informed and trained ,PR,,
,,,V13C) Workforce may be unaware of recommended precautions when leaving consoles unattended and unlocked,,M13C) Require video surveillance for operations rooms containing sensitive user consoles,DE.CM-2: The physical environment is monitored to detect potential cybersecurity events,AMI,ami.csv,,109,DE.CM-2: The physical environment is monitored to detect potential cybersecurity events,DE,,
,,,,,M13D) Lock workstations when unattended,"PR.AC-2: Physical access to assets is managed and protected
PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",AMI,ami.csv,,110,"PR.AC-2: Physical access to assets is managed and protected
PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",PR,,
,,,,,M13E) Confirm action by requiring approval for some actions in the user interface design,PR.IP-3: Configuration change control processes are in place,AMI,ami.csv,,111,PR.IP-3: Configuration change control processes are in place,PR,,
,,,,,M13F) Lock workstation for inactivity on non-safety-critical consoles,"PR.AC-2: Physical access to assets is managed and protected
PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",AMI,ami.csv,,112,"PR.AC-2: Physical access to assets is managed and protected
PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",PR,,
,,,,,M13G) Cross check physical access identification with system identification to detect failure scenarios such as a threat agent using Person A’s badge to access a physical console and subsequently logging into a system using Person B’s credentials,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed
DE.AE-3: Event data are collected and correlated from multiple sources and sensors",AMI,ami.csv,,113,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed
DE.AE-3: Event data are collected and correlated from multiple sources and sensors",DE,,
,,,,,M13H) Require second-level authentication to the application interface to initiate customer disconnect,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",AMI,ami.csv,,114,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",PR,,
14.0,Breach of Cellular Provider’s Network Exposes AMI Access,"A cellular phone provider’s network is breached, allowing access to a private network leased to a utility for AMI command and control. The AMI implementation is vulnerable to replay attacks and DR  messages are replayed to a group of customers. (Note: This is a special case of failure scenario DR.3.)","V14A) Publicly accessible and/or third party controlled links used (e.g., commercial mobile, utility leased)",I14A) Costs of customer service for complaints and investigations,M14A) Isolate networks using different encryption keys to prevent a breach in one network from affecting another network,"PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)",AMI,ami.csv,,115,"PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)",PR,,
,,,V14B) Cryptography used that employs algorithms that are breakable within a time period useful to the adversary,I14B) Loss of revenue (if DR messages decrease power draw) or temporary loss of power to more critical uses (if messages increase power draw),M14B) Require approved cryptographic algorithms at the link layer to prevent a threat agent from being able to affect the confidentiality and integrity on the AMI network if a breach should occur,"PR.DS-2: Data-in-transit is protected
PR.PT-4: Communications and control networks are protected
",AMI,ami.csv,,116,"PR.DS-2: Data-in-transit is protected
PR.PT-4: Communications and control networks are protected
",PR,,
,,,V14C) A copy of a prior message or command is difficult or infeasible to distinguish from a new legitimate message or command in the AMI system,I14C) Cost to re-secure the network,"M14C) Protect against replay using time-stamping, or other methods","DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed
DE.DP-2: Detection activities comply with all applicable requirements",AMI,ami.csv,,117,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed
DE.DP-2: Detection activities comply with all applicable requirements",DE,,
15.0,Inadequate Security for Backup AMI Enables Malicious Activity,"Inadequate security implementation in the AMI monitoring and control backup system allows a threat agent to execute an attack on the AMI implementation during a business continuity or disaster recovery scenario. Access to these backup systems allows a threat agent to perform malicious activity such as mass disconnects of meters, stopping or modifying DR messages, or creating large numbers of problem meter reports",V15A) Weaker security architecture at backup sites,I15A) Power and revenue loss for disconnected customers,M15A) Restrict physical access for backup sites comparable to normal operational sites,"PR.AC-2: Physical access to assets is managed and protected

",AMI,ami.csv,,118,"PR.AC-2: Physical access to assets is managed and protected

",PR,,
,,,V15B) Inadequate continuity and recovery security architecture used in business continuity and disaster recovery planning and procedures,I15B) Outages due to inadequate power available at peak times,M15B) Require video surveillance for backup sites comparable to normal operational sites,DE.CM-2: The physical environment is monitored to detect potential cybersecurity events,AMI,ami.csv,,119,DE.CM-2: The physical environment is monitored to detect potential cybersecurity events,DE,,
,,,,I15C) Cost for rolling trucks to investigate problem meters,M15C) Detect physical intrusion for backup sites comparable to normal operational sites,DE.CM-2: The physical environment is monitored to detect potential cybersecurity events,AMI,ami.csv,,120,DE.CM-2: The physical environment is monitored to detect potential cybersecurity events,DE,,
,,,,I15D) Additional operational strain on the utility during a business continuity/disaster recovery situation,"M15D) Emphasize security management in business continuity and disaster recovery planning, procedures, and execution",PR.IP-9: Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,AMI,ami.csv,,121,PR.IP-9: Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,PR,,
,,,,,"M15E) Define policy to include risk and vulnerability assessments in business continuity
and disaster recovery testing",ID.GV-4: Governance and risk management processes address cybersecurity risks,AMI,ami.csv,,122,ID.GV-4: Governance and risk management processes address cybersecurity risks,ID,,
16.0,Compromised Headend Allows Impersonation of CA,"The private key for the certificate authority (CA) used to set up a Public Key Infrastructure (PKI) at the headend is compromised, which allows a threat agent to impersonate the CA",V16A) Cryptography used that employs algorithms that are breakable within a time period useful to the adversary for protection of the private CA key,I16A) Costs incurred for rekeying,"M16A) Require approved key management including secure generation, distribution, storage, and update of cryptographic keys","PR.DS-1: Data-at-rest is protected
PR.DS-2: Data-in-transit is protected",AMI,ami.csv,,123,"PR.DS-1: Data-at-rest is protected
PR.DS-2: Data-in-transit is protected",PR,,
,,,V16B) Security design does not consider the system lifecycle in the headend,I16B) Potential for power overload if the threat agent is able to introduce malicious nodes in the metering system,,,AMI,ami.csv,,124,nan,,,
,,,,"I16C) Potential to perform security-relevant tasks such as firmware upgrades, configuration changes, etc. that are initiated from the CA",,,AMI,ami.csv,,125,nan,,,
17.0,Malicious Creation of Duplicate APN Prevents Valid AMI Messages,A malicious individual creates a duplicate Access Point Name (APN) for the Group Special Mobile (GSM)-based cellular communications on an AMI network. The meters that are within the range then associate with the fake APN and do not receive messages from the AMI network,V17A) System permits unauthorized changes in the routing mechanisms of the cellular network,I17A) Denial of Service for cellular-based functions within the AMI network,M17A) Verify mode of GSM-based communications for AMI operate only in 3G mode,DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed,AMI,ami.csv,,126,DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed,DE,,
,,,V17B) System relies on credentials that are easy to obtain for access for reconfiguration of the AMI network,I17AB) Cost to roll a truck to investigate unresponsive meter and to read meter data,M17B) Require fail-over for cellular-based functions fail over to an alternative nonwireless technology such as power line carrier (PLC),"PR.PT-5: Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations",AMI,ami.csv,,127,"PR.PT-5: Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations",PR,,
,,,,I17C) Inability for meters to receive DR messages could cause customers to either pay more for power or experience a loss of power,M17C) Protect credentials for modifying the configuration of the AMI network,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",AMI,ami.csv,,128,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",PR,,
,,,,"I17D) If exploited on a large scale, potential outages could occur due to a utility’s inability to implement DR",M17D) Require strong passwords for modifying the configuration of the AMI network,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",AMI,ami.csv,,129,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",PR,,
,,,,,M17E) Require multi-factor authentication for modifying the configuration of the AMI network,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",AMI,ami.csv,,130,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",PR,,
,,,,,M17F) Detect unusual patterns of traffic on the AMI cellular network,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events


",AMI,ami.csv,,131,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events


",DE,,
18.0,Unauthorized Devices Create DoS and Prevent Valid DR Messages,Unauthorized devices gain access to a home area network (HAN). The devices can then be used to create a Denial-of-Service (DoS) condition so that DR messages cannot reach end customer devices.,V18A) System relies on credentials that are easy to obtain for access to the HAN,I18A) Inability to receive DR messages may cause affected customers to either pay more for power or to suffer a loss of usage of a device requiring power,M18A) Restrict device access to the HAN network,PR.AC-3: Remote access is managed,AMI,ami.csv,,132,PR.AC-3: Remote access is managed,PR,,
,,,V18A) Network interfaces permit unnecessary traffic flows instead of only flows to the HAN router/gateway/trust center,I18B) Utility will have associated customer service and troubleshooting costs,M18B) Authenticate devices accessing the HAN network,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)
",AMI,ami.csv,,133,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)
",PR,,
,,,,"I18C) If exploited on a large scale, potential outages could occur due to utility inability to implement DR ",,,AMI,ami.csv,,134,nan,,,
19.0,"Out of Sync Time-stamping Causes Discard of Legitimate
Commands","Time-stamping, sometimes used to detect replay attacks, gets out of sync between a meter and its respective AMI headend system, causing the meter to ignore legitimate commands it interprets as a potential replay attack. This causes loss of  advanced metering functionality such as two-way communications, remote connect/disconnect, and metrology",V19A) A copy of a prior message or command is difficult or infeasible to distinguish from a new legitimate message or command for meter commands from the AMI headend,"I19A) Higher cost, or no cost savings, to read meter data if remote reading fails",M19A) Require reliable external time source for the meter’s time-stamping functionality,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",AMI,ami.csv,,135,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",PR,,
,,,V19B) System permits unauthorized changes to the time synchronization between meters and the AMI headend,"I19B) If exploited on a large scale, outages could occur due to utility inability to implement DR","M19B) Cross check periodically, the results of the time synchronization protocol","PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",AMI,ami.csv,,136,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",PR,,
,,,V19C) System permits unauthorized changes to timestamps on meter commands from the AMI headend,"I19C) Cost of associated customer service, late invoicing, and troubleshooting efforts","M19C) Check software execution integrity of the time synchronization protocol, since software may be compromised when loaded for execution","PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",AMI,ami.csv,,137,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",PR,,
,,,,,M19D) Verify time synchronization in the time synchronization protocol,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",AMI,ami.csv,,138,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",PR,,
,,,,,M19E) Protect against replay using session tokens,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed
DE.DP-2: Detection activities comply with all applicable requirements",AMI,ami.csv,,139,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed
DE.DP-2: Detection activities comply with all applicable requirements",DE,,
20.0,Independent Energy Generator Causes Lower time-of use (TOU) Pricing,An independent energy generator bribes an AMI operator to lower TOU pricing to increase demand,V20A) System permits unauthorized changes to the TOU pricing implementation,I20A) Utility may lose revenue due to lower prices charged customers at a large volume,M20A) Create audit logs to record TOU pricing changes,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",AMI,ami.csv,,140,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",PR,,
,,,,,M20B) Require two-person rule for major changes,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)",AMI,ami.csv,,141,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)",PR,,
,,,,,M20C) Implement configuration management to reduce the likelihood that one person can implement a change that impacts the entire system,"PR.IP-3: Configuration change control processes are in place
PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",AMI,ami.csv,,142,"PR.IP-3: Configuration change control processes are in place
PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",PR,,
21.0,Stolen Field Service Tools Expose AMI Infrastructure,"A utility’s field service laptop and optical probe are lost or stolen, exposing the software to control components of the AMI infrastructure (e.g., meters and concentrators) to any user","V21A) Physical access to mobile devices may enable logical access to business functions by unauthorized individuals* to software components of the AMI
infrastructure","I21A) Potential for unexpected and perhaps intermittent power loss for a targeted
customer or for a large number of customers, and associated revenue loss for a
utility",M21A) Configure for least functionality on the field service laptop,PR.PT-3: The principle of least functionality is incorporated by configuring systems to provide only essential capabilities,AMI,ami.csv,,143,PR.PT-3: The principle of least functionality is incorporated by configuring systems to provide only essential capabilities,PR,,
,,,,I21B) Impact may continue even after the laptop is retrieved if a copy of the laptop’s OS and/or applications can be exfiltrated or recreated by the threat agent,M21B) Encrypt data at rest on the field service equipment laptop,PR.DS-1: Data-at-rest is protected,AMI,ami.csv,,144,PR.DS-1: Data-at-rest is protected,PR,,
,,,,,M21C) Track asset (phone home) for the field service equipment laptop,ID.AM-1: Physical devices and systems within the organization are inventoried,AMI,ami.csv,,145,ID.AM-1: Physical devices and systems within the organization are inventoried,ID,,
,,,,,M21D) Require credential revocation for laptops,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",AMI,ami.csv,,146,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",PR,,
,,,,,M21E) Sanitize device with remote wipe capability for lost field assets,PR.IP-6: Data is destroyed according to policy,AMI,ami.csv,,147,PR.IP-6: Data is destroyed according to policy,PR,,
22.0,Wireless Access to AMI Administration Causes Invalid Disconnect,A threat agent gains wireless access to a web-based administration page on an AMI device that controls the ability to disconnect power from the device,"V22A) System permits wireless access by unauthorized parties* to the wireless network
used to control an AMI device",I22A) Unexpected power loss for the customer,M22A) Require multi-factor authentication for privileged functionality,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",AMI,ami.csv,,148,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",PR,,
,,,V22B) System relies on credentials that are easy to obtain for access to the web-based administration page used to control an AMI device,,M22B) Restrict application access to web-based administration,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",AMI,ami.csv,,149,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",PR,,
,,,,,M22C) Require approved cryptographic algorithms to protect the wireless network,"PR.DS-2: Data-in-transit is protected
PR.PT-4: Communications and control networks are protected
",AMI,ami.csv,,150,"PR.DS-2: Data-in-transit is protected
PR.PT-4: Communications and control networks are protected
",PR,,
23.0,"Meter Authentication Credentials are Compromised and Posted on
Internet","A utility deploys all AMI devices with the same authentication credentials granting privileged access via the local infra-red port, and the credentials are compromised and posted on the Internet",V23A) System relies on credentials that are easy to obtain for access to AMI devices (hardcoded passwords),"I23A) Potential for unexpected and perhaps intermittent power loss for a targeted customer or for a large number of customers, and associated revenue loss for a utility",M23A) Require multi-factor authentication for privileged functionality,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",AMI,ami.csv,,151,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",PR,,
,,,V23B) Shared credentials are used for access to AMI devices,,M23B) Verify absence of hardcoded credentials on AMI equipment,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",AMI,ami.csv,,152,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",PR,,
,,,,,M23C) Require password rule enforcement including rule that limits sharing of a password by many meters,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",AMI,ami.csv,,153,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",PR,,
24.0,Weak Cryptography Exposes AMI Device Communication,"An AMI vendor implements weak cryptography that is easy to crack, allowing access to and modification of configuration or data on that interface.",V24A) Cryptography used that employs algorithms that are breakable within a time period useful to the adversary to control access to configuration or data in AMI implementation,"I24A) Cost to upgrade or to replace all devices, if upgrade is not feasible. This impact is expected whether or not a threat agent ever uses this vulnerability to launch an attack",M24A) Require approved cryptographic algorithms,"PR.DS-2: Data-in-transit is protected
",AMI,ami.csv,,154,"PR.DS-2: Data-in-transit is protected
",PR,,
,,,,"I24B) Loss of customers’ private information, and associated costs",M24B) Define procedure in change and configuration management policies and procedures to allow future cryptographic changes,"PR.IP-3: Configuration change control processes are in place
",AMI,ami.csv,,155,"PR.IP-3: Configuration change control processes are in place
",PR,,
,,,,"I24C) Mass disconnect of meters potentially causing circuit breaker trips, resulting in
temporary outages until power on the grid can be rebalanced","M24C) Define procedure to include security, including cryptography, in the purchasing process",ID.SC-3: Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization’s cybersecurity program and Cyber Supply Chain Risk Management Plan.,AMI,ami.csv,,156,ID.SC-3: Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization’s cybersecurity program and Cyber Supply Chain Risk Management Plan.,ID,,
,,,,,M24D) Perform security testing of security controls during system acceptance testing,PR.IP-2: A System Development Life Cycle to manage systems is implemented,AMI,ami.csv,,157,PR.IP-2: A System Development Life Cycle to manage systems is implemented,PR,,
25.0,Known but Unpatched Vulnerability Exposes AMI Infrastructure,A threat agent is able to gain access to the AMI system by exploiting a known vulnerability that has not yet been patched. The threat agent is unable to access the AMI applications but can access other AMI devices and the headend system,V25A) Software patches are not checked regularly to ensure that they are current in the AMI devices and headend system,"I25A) Access to an AMI headend, via an unpatched firewall and operating system for
example, could permit a threat agent to shut down the AMI headend","M25A) Maintain patches including a severity rating (e.g., critical, important, moderate, low) and timeframes for patching vulnerabilities based on severity","PR.MA-1: Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools
PR.IP-12: A vulnerability management plan is developed and implemented
RS.MI-3: Newly identified vulnerabilities are mitigated or documented as accepted risks",AMI,ami.csv,,158,"PR.MA-1: Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools
PR.IP-12: A vulnerability management plan is developed and implemented
RS.MI-3: Newly identified vulnerabilities are mitigated or documented as accepted risks",PR,,
,,,,"I25B) Outages caused by an AMI headend shut down due to the utility’s inability to
implement DR at peak times",M25B) Detect unauthorized access in network traffic to the AMI headend servers,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed",AMI,ami.csv,,159,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed",DE,,
,,,,I25C) Customer service and troubleshooting costs,M25C) Generate alarms for unauthorized access to the AMI headend servers,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events",AMI,ami.csv,,160,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events",DE,,
,,,,,M25D) Restrict network access to the AMI headend servers,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.AC-3: Remote access is managed",AMI,ami.csv,,161,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.AC-3: Remote access is managed",PR,,
,,,,,"M25E) Define procedures for equipment purchase, to ensure timely availability of
validated security updates from vendor","ID.SC-3: Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization’s cybersecurity program and Cyber Supply Chain Risk Management Plan
PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access",AMI,ami.csv,,162,"ID.SC-3: Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization’s cybersecurity program and Cyber Supply Chain Risk Management Plan
PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access",ID,,
,,,,,M25F) Perform security testing to validate that the system as purchased is current with respect to security updates,"ID.SC-2: Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process ",AMI,ami.csv,,163,"ID.SC-2: Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process ",ID,,
26.0,AMI Billing Cards are Compromised Incurring Loss of Revenue,"The smart cards or magnetic cards for AMI billing are compromised. Example compromises include tampering with cards to change the credit amount, erasing the logic that decrements the credit amount remaining, or forging cards",V26A) System assumes data inputs and resulting calculations are accurate on smartcards inserted into a meter,I26A) Loss of revenue,M26A) Design for security in the payment system,PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),AMI,ami.csv,,164,PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),PR,,
,,,V26B) System permits unauthorized changes to AMI billing information on smartcards,,M26B) Check software file integrity (digital signatures or keyed hashes) to the card contents,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",AMI,ami.csv,,165,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",PR,,
,,,,,"M26C) Authenticate data source i.e., smart cards or magnetic cards for AMI billing","PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",AMI,ami.csv,,166,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",PR,,
,,,,,M26D) Perform security testing as a part of system acceptance testing,"PR.IP-2: A System Development Life Cycle to manage systems is implemented
ID.RA-1: Asset vulnerabilities are identified and documented",AMI,ami.csv,,167,"PR.IP-2: A System Development Life Cycle to manage systems is implemented
ID.RA-1: Asset vulnerabilities are identified and documented",PR,,
27.0,Reverse Engineering of AMI Equipment Allows Unauthorized Mass,"A threat agent is able to reverse engineer AMI equipment (meters and concentrators) to determine how to remotely control them. This allows the threat agent to control many devices simultaneously, and, for example, to perform a simultaneous mass disconnect, send DR messages that cause consumption of electricity to go up dramatically, or cause devices to send out last gasp or self-test failed messages","V27A) Design permits unnecessary privileges*, such as unprotected interfaces used for development, testing, monitoring, or maintenance purposes that remain in production equipment","I27A) When demand can be manipulated quickly by a threat agent, there is the potential for outages while operators adjust generation to demand",M27A) Design for security to identify and remove unsecure development features and “nonstandard” interfaces from “production devices”,PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),AMI,ami.csv,,168,PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),PR,,
